FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,ConversionFactorValue
501782,1470,85g,85g,0.85000
501785,341,100ml,100ml,0.81150
501785,383,125ml,125ml,1.01437
501785,415,250ml,250ml,2.02874
501785,1470,85g,85g,0.85000
501786,341,100ml,100ml,0.71851
501786,383,125ml,125ml,0.89814
501786,415,250ml,250ml,1.79628
501786,1470,85g,85g,0.85000
501787,343,100ml chopped,100ml haché,0.41420
501787,1031,125ml chopped,125ml haché,0.51775
501787,1032,250ml chopped,250ml haché,1.03550
501787,1470,85g,85g,0.85000
501788,341,100ml,100ml,0.27050
501788,383,125ml,125ml,0.33812
501788,415,250ml,250ml,0.67625
501788,1470,85g,85g,0.85000
501789,139,1 large,1 gros,1.80000
501789,160,1 medium,1 moyen,1.14000
501789,341,100ml,100ml,0.84531
501789,383,125ml,125ml,1.05664
501789,415,250ml,250ml,2.11327
501789,553,1 small,1 petit,0.60000
501789,1482,110g,110g,1.10000
501789,1501,1/2 medium,1/2 moyen,0.57000
501790,357,100ml mashed,100ml en purée,1.38631
501790,1059,125ml mashed,125ml en purée,1.73288
501790,1060,250ml mashed,250ml en purée,3.46577
501790,1482,110g,110g,1.10000
501791,347,100ml cubes,100ml en cubes,0.74387
501791,1015,125ml cubes,125ml cubes,0.92984
501791,1016,250ml cubes,250ml cubes,1.85968
501791,1482,110g,110g,1.10000
501792,227,1 roll,1 pain mollet,0.30000
501792,1461,55g,55g,0.55000
501793,385,15ml,15ml,0.17737
501793,428,30ml,30ml,0.35473
501794,371,100ml slices,100ml tranches,0.55790
501794,971,125ml slices,125ml tranches,0.69738
501794,979,250ml slices,250ml tranches,1.39473
501794,1470,85g,85g,0.85000
501795,341,100ml,100ml,0.61285
501795,383,125ml,125ml,0.76606
501795,415,250ml,250ml,1.53212
501795,1470,85g,85g,0.85000
501796,371,100ml slices,100ml tranches,0.59172
501796,971,125ml slices,125ml tranches,0.73965
501796,979,250ml slices,250ml tranches,1.47930
501796,1470,85g,85g,0.85000
501797,371,100ml slices,100ml tranches,0.57904
501797,971,125ml slices,125ml tranches,0.72380
501797,979,250ml slices,250ml tranches,1.44759
501797,1470,85g,85g,0.85000
501798,341,100ml,100ml,1.00169
501798,389,175ml,175ml,1.75296
501798,415,250ml,250ml,2.50423
501799,196,1 piece,1 morceau,0.13000
501799,867,1 serving,1 portion,1.50000
501799,1470,85g,85g,0.85000
501800,196,1 piece,1 morceau,0.13000
501800,867,1 serving,1 portion,1.50000
501800,1470,85g,85g,0.85000
501801,341,100ml,100ml,1.16238
501801,383,125ml,125ml,1.45298
501801,385,15ml,15ml,0.17436
501801,415,250ml,250ml,2.90595
501801,428,30ml,30ml,0.34870
501801,640,60ml,60ml,0.69743
501802,341,100ml,100ml,1.05670
501802,383,125ml,125ml,1.32079
501802,415,250ml,250ml,2.64159
501802,640,60ml,60ml,0.63398
501803,174,1 package,1 paquet,3.97000
501803,1607,195g,195g,1.95000
501805,343,100ml chopped,100ml haché,0.60862
501805,415,250ml,250ml,1.52156
501805,1031,125ml chopped,125ml haché,0.76078
501805,1470,85g,85g,0.85000
501806,341,100ml,100ml,0.69315
501806,383,125ml,125ml,0.86644
501806,415,250ml,250ml,1.73288
501806,1470,85g,85g,0.85000
501807,347,100ml cubes,100ml en cubes,0.65934
501807,357,100ml mashed,100ml en purée,0.97210
501807,1015,125ml cubes,125ml cubes,0.82418
501807,1016,250ml cubes,250ml cubes,1.64835
501807,1059,125ml mashed,125ml en purée,1.21513
501807,1060,250ml mashed,250ml en purée,2.43026
501807,1470,85g,85g,0.85000
501808,341,100ml,100ml,0.65934
501808,383,125ml,125ml,0.82418
501808,415,250ml,250ml,1.64835
501808,1470,85g,85g,0.85000
501809,196,1 piece,1 morceau,2.89000
501809,1455,100g,100g,1.00000
501810,383,125ml,125ml,0.54950
501810,1470,85g,85g,0.85000
501811,347,100ml cubes,100ml en cubes,0.57481
501811,1015,125ml cubes,125ml cubes,0.71851
501811,1016,250ml cubes,250ml cubes,1.43702
501811,1470,85g,85g,0.85000
501812,341,100ml,100ml,0.26205
501812,383,125ml,125ml,0.32756
501812,415,250ml,250ml,0.65511
501812,1470,85g,85g,0.85000
501813,347,100ml cubes,100ml en cubes,0.73964
501813,1015,125ml cubes,125ml cubes,0.92456
501813,1016,250ml cubes,250ml cubes,1.84911
501813,1470,85g,85g,0.85000
501814,867,1 serving,1 portion,0.20000
501814,1454,30g,30g,0.30000
501815,341,100ml,100ml,0.76923
501815,383,125ml,125ml,0.96154
501815,415,250ml,250ml,1.92308
501815,1470,85g,85g,0.85000
501816,12,1 bar,1 barre,0.30000
501816,1454,30g,30g,0.30000
501816,502411,1 snack bag,1 sachet collation,0.28000
501817,1461,55g,55g,0.55000
501817,502413,1 hop & go,1 hop & go,0.53000
501817,502414,1 leclerc,1 leclerc,0.38000
501818,12,1 bar,1 barre,0.37000
501818,1456,40g,40g,0.40000
501819,12,1 bar,1 barre,0.23000
501819,1454,30g,30g,0.30000
501819,502412,2 bars,2 barres,0.46000
501820,12,1 bar,1 barre,0.23000
501820,1454,30g,30g,0.30000
501820,502412,2 bars,2 barres,0.46000
501821,12,1 bar,1 barre,0.47000
501821,279,1 square,1 carré,0.60000
501821,1454,30g,30g,0.30000
501822,1456,40g,40g,0.40000
501822,502415,nature valley,nature valley,0.35000
501822,502416,quaker,quaker,0.35000
501822,502417,leclerc,leclerc,0.25000
501822,502418,president's choice,choix du président,0.40000
501822,502419,"1 bar, unspecified","1 barre, non spécifiée",0.34000
501823,12,1 bar,1 barre,0.34000
501823,1456,40g,40g,0.40000
501824,12,1 bar,1 barre,0.26000
501824,1454,30g,30g,0.30000
501825,1454,30g,30g,0.30000
501825,502415,nature valley,nature valley,0.35000
501826,12,1 bar,1 barre,0.30000
501826,1454,30g,30g,0.30000
501827,1454,30g,30g,0.30000
501827,502415,nature valley,nature valley,0.22000
501827,502417,leclerc,leclerc,0.35000
501827,502418,president's choice,choix du président,0.35000
501827,502419,"1 bar, unspecified","1 barre, non spécifiée",0.31000
501827,502420,kellogg's,kellogg's,0.32000
501828,990,50g,50g,0.50000
501828,1608,3 egg whites,3 blancs d'oeufs,0.99000
501828,502421,1 large egg white,1 gros blanc d'oeuf,0.33000
501829,139,1 large,1 gros,1.77000
501829,553,1 small,1 petit,0.90000
501829,990,50g,50g,0.50000
501829,502454,1/4,1/4,0.44250
501830,139,1 large,1 gros,0.52000
501830,160,1 medium,1 moyen,0.32000
501830,553,1 small,1 petit,0.18000
501830,1457,140g,140g,1.40000
501831,1153,1 medium (12.7cm dia),1 moyen (12.7cm dia),0.40000
501831,1496,75g,75g,0.75000
501831,502423,1 small (7.6 cm dia),"1 petit (7,6cm dia)",0.13000
501831,502425,1 large (17.8 cm dia),"1 gros (17,8cm dia)",0.80000
501832,1461,55g,55g,0.55000
501832,1501,1/2 medium,1/2 moyen,0.28500
501832,502426,1 small (6.4 cm dia),"1 petit (6,4cm dia)",0.45000
501832,502427,1 medium (7cm dia),1 moyen (7cm dia),0.57000
501832,502428,1 large (8.3cm dia),"1 gros (8,3cm dia)",0.71000
501833,139,1 large,1 gros,1.54000
501833,160,1 medium,1 moyen,1.13000
501833,553,1 small,1 petit,0.66000
501833,1461,55g,55g,0.55000
501833,1546,1/2 muffin,1/2 muffin,0.33000
501834,164,1 muffin,1 muffin,0.57000
501834,1461,55g,55g,0.55000
501834,1546,1/2 muffin,1/2 muffin,0.28500
501835,341,100ml,100ml,0.59592
501835,383,125ml,125ml,0.74490
501835,415,250ml,250ml,1.48980
501835,1470,85g,85g,0.85000
501836,341,100ml,100ml,0.77768
501836,383,125ml,125ml,0.97211
501836,415,250ml,250ml,1.94421
501836,1470,85g,85g,0.85000
501837,341,100ml,100ml,1.03550
501837,383,125ml,125ml,1.29440
501837,415,250ml,250ml,2.58880
501837,1457,140g,140g,1.40000
501838,341,100ml,100ml,0.88800
501838,383,125ml,125ml,1.11000
501838,415,250ml,250ml,2.22000
501838,1457,140g,140g,1.40000
501839,341,100ml,100ml,0.24556
501839,383,125ml,125ml,0.30695
501839,415,250ml,250ml,0.61391
501839,1471,65g,65g,0.65000
501840,1470,85g,85g,0.85000
501841,134,1 heart,1 coeur,0.27000
501841,341,100ml,100ml,0.75020
501841,383,125ml,125ml,0.93776
501841,415,250ml,250ml,1.87550
501842,341,100ml,100ml,0.89307
501842,383,125ml,125ml,1.11600
501842,415,250ml,250ml,2.23300
501843,328,1/8 pie (23cm dia),1/8 tarte (23cm dia),1.14000
501843,1482,110g,110g,1.10000
501844,1482,110g,110g,1.10000
501844,500835,,,0.85000
501845,1510,80g,80g,0.80000
501845,502430,1/10 cake (1-layer),1/10 gâteau (1 étage),0.66000
501845,502431,1/10 cake (2-layer),1/10 gâteau (2 étages),1.09000
501846,1510,80g,80g,0.80000
501846,502430,1/10 cake (1-layer),1/10 gâteau (1 étage),0.66000
501847,1510,80g,80g,0.80000
501847,502446,1 piece (1/10 of a loaf),1 morceau (1/10 d'un gâteau),0.91000
501848,1510,80g,80g,0.80000
501848,502430,1/10 cake (1-layer),1/10 gâteau (1 étage),0.69000
501849,575,"1/12 cake (2 layer, 20cm dia)","1/12 gâteau (2 etages, 20cm dia)",1.09000
501849,1510,80g,80g,0.80000
501849,502430,1/10 cake (1-layer),1/10 gâteau (1 étage),0.66000
501850,575,"1/12 cake (2 layer, 20cm dia)","1/12 gâteau (2 etages, 20cm dia)",1.09000
501850,1510,80g,80g,0.80000
501850,502430,1/10 cake (1-layer),1/10 gâteau (1 étage),0.66000
501851,313,1/12 cake (23cm dia),1/12 gâteau (23cm dia),1.42000
501851,1489,125g,125g,1.25000
501852,575,"1/12 cake (2 layer, 20cm dia)","1/12 gâteau (2 etages, 20cm dia)",0.11300
501852,799,1 cupcake,1 petit gâteau,0.60000
501852,1510,80g,80g,0.80000
501852,502430,1/10 cake (1-layer),1/10 gâteau (1 étage),0.80000
501853,1114,1 medium (6.7cm dia),1 moyen (6.7cm dia),0.16000
501853,1454,30g,30g,0.30000
501854,139,1 large,1 gros,1.54000
501854,160,1 medium,1 moyen,1.13000
501854,553,1 small,1 petit,0.66000
501854,1461,55g,55g,0.55000
501854,1546,1/2 muffin,1/2 muffin,0.33000
501855,139,1 large,1 gros,1.54000
501855,160,1 medium,1 moyen,1.13000
501855,553,1 small,1 petit,0.66000
501855,1461,55g,55g,0.55000
501857,341,100ml,100ml,1.03440
501857,383,125ml,125ml,1.30500
501857,415,250ml,250ml,2.60990
501858,341,100ml,100ml,1.04400
501858,383,125ml,125ml,1.30500
501858,415,250ml,250ml,2.60990
501859,341,100ml,100ml,1.05670
501859,389,175ml,175ml,1.84920
501859,415,250ml,250ml,2.64170
501861,341,100ml,100ml,1.08622
501861,383,125ml,125ml,1.35778
501861,388,150ml,150ml,1.62933
501861,415,250ml,250ml,2.71555
501862,341,100ml,100ml,0.50296
501862,383,125ml,125ml,0.62934
501862,415,250ml,250ml,1.25740
501862,428,30ml,30ml,0.29823
501862,1467,15g,15g,0.15000
501863,341,100ml,100ml,0.33812
501863,383,125ml,125ml,0.42265
501863,385,15ml,15ml,0.05072
501863,415,250ml,250ml,0.84531
501863,1467,15g,15g,0.15000
501864,341,100ml,100ml,1.11580
501864,383,125ml,125ml,1.39460
501864,415,250ml,250ml,2.78950
501865,341,100ml,100ml,0.52832
501865,383,125ml,125ml,0.66040
501865,415,250ml,250ml,1.32079
501865,867,1 serving,1 portion,0.20000
501865,1454,30g,30g,0.30000
501866,383,125ml,125ml,0.23774
501866,415,250ml,250ml,0.47549
501866,990,50g,50g,0.50000
501868,348,100ml diced,100ml en dés,0.59172
501868,968,125ml diced,125ml en dés,0.73964
501868,976,250ml diced,250ml en dés,1.47929
501868,1455,100g,100g,1.00000
501869,348,100ml diced,100ml en dés,0.59172
501869,968,125ml diced,125ml en dés,0.73965
501869,976,250ml diced,250ml en dés,1.47929
501869,1455,100g,100g,1.00000
501870,348,100ml diced,100ml en dés,0.59172
501870,968,125ml diced,125ml en dés,0.73965
501870,976,250ml diced,250ml en dés,1.47929
501870,1455,100g,100g,1.00000
501871,1461,55g,55g,0.55000
501872,348,100ml diced,100ml en dés,0.59172
501872,968,125ml diced,125ml en dés,0.73965
501872,976,250ml diced,250ml en dés,1.47929
501872,1455,100g,100g,1.00000
501873,348,100ml diced,100ml en dés,0.59172
501873,968,125ml diced,125ml en dés,0.73965
501873,976,250ml diced,250ml en dés,1.47929
501873,1455,100g,100g,1.00000
501874,348,100ml diced,100ml en dés,0.59172
501874,968,125ml diced,125ml en dés,0.73965
501874,976,250ml diced,250ml en dés,1.47929
501874,1455,100g,100g,1.00000
501875,348,100ml diced,100ml en dés,0.59172
501875,968,125ml diced,125ml en dés,0.73965
501875,976,250ml diced,250ml en dés,1.47929
501875,1455,100g,100g,1.00000
501876,348,100ml diced,100ml en dés,0.59172
501876,968,125ml diced,125ml en dés,0.73965
501876,976,250ml diced,250ml en dés,1.47929
501876,1455,100g,100g,1.00000
501877,348,100ml diced,100ml en dés,0.59172
501877,968,125ml diced,125ml en dés,0.73965
501877,976,250ml diced,250ml en dés,1.47929
501877,1455,100g,100g,1.00000
501878,348,100ml diced,100ml en dés,0.59172
501878,968,125ml diced,125ml en dés,0.73965
501878,976,250ml diced,250ml en dés,1.47929
501878,1455,100g,100g,1.00000
501879,383,125ml,125ml,0.28001
501879,415,250ml,250ml,0.56002
501879,1454,30g,30g,0.30000
501882,383,125ml,125ml,0.73964
501882,415,250ml,250ml,1.47929
501882,1457,140g,140g,1.40000
501883,341,100ml,100ml,1.06932
501883,383,125ml,125ml,1.33664
501883,415,250ml,250ml,2.67329
501884,341,100ml,100ml,1.05241
501884,383,125ml,125ml,1.31551
501884,415,250ml,250ml,2.63102
501885,341,100ml,100ml,1.05680
501885,383,125ml,125ml,1.32100
501885,415,250ml,250ml,2.64200
501886,383,125ml,125ml,0.58643
501886,415,250ml,250ml,1.17287
501886,1470,85g,85g,0.85000
501887,383,125ml,125ml,0.74493
501887,415,250ml,250ml,1.48986
501887,1470,85g,85g,0.85000
501888,341,100ml,100ml,1.02282
501888,383,125ml,125ml,1.27853
501888,389,175ml,175ml,1.78994
501888,415,250ml,250ml,2.55706
501888,640,60ml,60ml,0.61369
501889,341,100ml,100ml,1.02705
501889,383,125ml,125ml,1.28381
501889,415,250ml,250ml,2.56762
501890,341,100ml,100ml,1.01014
501890,385,15ml,15ml,0.15200
501891,76,1 crust (23 cm dia),1 croûte (23 cm dia),1.83000
501891,328,1/8 pie (23cm dia),1/8 tarte (23cm dia),0.22875
501892,76,1 crust (23 cm dia),1 croûte (23 cm dia),1.82000
501892,328,1/8 pie (23cm dia),1/8 tarte (23cm dia),0.22750
501893,1456,40g,40g,0.40000
501894,1456,40g,40g,0.40000
501895,1456,40g,40g,0.40000
501896,1456,40g,40g,0.40000
501897,341,100ml,100ml,1.03973
501897,383,125ml,125ml,1.29966
501897,415,250ml,250ml,2.59932
501897,1457,140g,140g,1.40000
501898,341,100ml,100ml,0.55790
501898,383,125ml,125ml,0.69738
501898,415,250ml,250ml,1.39476
501898,1457,140g,140g,1.40000
501899,341,100ml,100ml,0.46492
501899,383,125ml,125ml,0.58115
501899,385,15ml,15ml,0.06993
501899,415,250ml,250ml,1.16230
501899,867,1 serving,1 portion,0.20000
501899,1454,30g,30g,0.30000
501900,990,50g,50g,0.50000
501900,1454,30g,30g,0.30000
501901,990,50g,50g,0.50000
501901,1454,30g,30g,0.30000
501902,332,10 chips,10  croustilles,0.08400
501902,341,100ml,100ml,0.16062
501902,383,125ml,125ml,0.20077
501902,415,250ml,250ml,0.40154
501902,480,1 chip,1 croustille,0.00840
501902,990,50g,50g,0.50000
501903,990,50g,50g,0.50000
501903,1454,30g,30g,0.30000
501904,383,125ml,125ml,1.27325
501904,415,250ml,250ml,2.54649
501905,383,125ml,125ml,1.23000
501905,415,250ml,250ml,2.46196
501906,383,125ml,125ml,1.17815
501906,415,250ml,250ml,2.35630
501908,348,100ml diced,100ml en dés,0.59172
501908,968,125ml diced,125ml en dés,0.73964
501908,976,250ml diced,250ml en dés,1.47929
501908,1489,125g,125g,1.25000
501909,348,100ml diced,100ml en dés,0.59172
501909,968,125ml diced,125ml en dés,0.73964
501909,976,250ml diced,250ml en dés,1.47929
501909,1489,125g,125g,1.25000
501910,348,100ml diced,100ml en dés,0.61285
501910,968,125ml diced,125ml en dés,0.76606
501910,976,250ml diced,250ml en dés,1.53212
501910,1489,125g,125g,1.25000
501911,348,100ml diced,100ml en dés,0.59172
501911,968,125ml diced,125ml en dés,0.73964
501911,976,250ml diced,250ml en dés,1.47929
501911,1489,125g,125g,1.25000
501912,348,100ml diced,100ml en dés,0.59172
501912,968,125ml diced,125ml en dés,0.73964
501912,976,250ml diced,250ml en dés,1.47929
501912,1489,125g,125g,1.25000
501912,502468,,,0.90000
501913,1461,55g,55g,0.55000
501914,867,1 serving,1 portion,0.29000
501914,1456,40g,40g,0.40000
501915,341,100ml,100ml,0.98901
501915,389,175ml,175ml,1.73077
501915,415,250ml,250ml,2.47250
501916,867,1 serving,1 portion,0.31000
501916,1456,40g,40g,0.40000
501917,341,100ml,100ml,0.98901
501917,389,175ml,175ml,1.73077
501917,415,250ml,250ml,2.47253
501918,867,1 serving,1 portion,0.38000
501918,1456,40g,40g,0.40000
501922,341,100ml,100ml,0.98901
501922,389,175ml,175ml,1.73077
501922,415,250ml,250ml,2.47253
501923,867,1 serving,1 portion,0.38000
501923,1456,40g,40g,0.40000
501924,341,100ml,100ml,0.98901
501924,389,175ml,175ml,1.73077
501924,415,250ml,250ml,2.47253
501925,341,100ml,100ml,0.23246
501925,383,125ml,125ml,0.29057
501925,415,250ml,250ml,0.58115
501925,1454,30g,30g,0.30000
501926,341,100ml,100ml,0.18174
501926,383,125ml,125ml,0.22718
501926,415,250ml,250ml,0.45435
501926,1454,30g,30g,0.30000
501929,341,100ml,100ml,1.02280
501929,383,125ml,125ml,1.27850
501929,389,175ml,175ml,1.78990
501929,415,250ml,250ml,2.55700
501930,341,100ml,100ml,0.86230
501930,383,125ml,125ml,1.07790
501930,389,175ml,175ml,1.50902
501930,415,250ml,250ml,2.15580
501931,341,100ml,100ml,1.04820
501931,383,125ml,125ml,1.31030
501931,415,250ml,250ml,2.62050
501931,502434,1 bottle (358ml),1 bouteille (358ml),3.72000
501932,341,100ml,100ml,1.04840
501932,383,125ml,125ml,1.31040
501932,415,250ml,250ml,2.62090
501932,501181,,,0.77000
501933,341,100ml,100ml,0.98070
501933,383,125ml,125ml,1.22590
501933,389,175ml,175ml,1.71620
501933,415,250ml,250ml,2.45180
501934,341,100ml,100ml,1.11330
501934,383,125ml,125ml,1.39160
501934,385,15ml,15ml,0.16700
501934,1461,55g,55g,0.55000
501934,1496,75g,75g,0.75000
501935,351,100ml flaked,100ml flocons,0.57480
501935,1455,100g,100g,1.00000
501935,1496,75g,75g,0.75000
501935,502436,125ml flaked,125ml flocons,0.71850
501935,502437,250ml flakes,250ml flocons,1.43700
501935,502438,1 fillet (16cm x 9cm x 1cm),1 filet (16cm x 9cm x 1cm),1.34000
501936,196,1 piece,1 morceau,1.20000
501936,341,100ml,100ml,0.85420
501936,383,125ml,125ml,1.06770
501936,415,250ml,250ml,2.13540
501936,1455,100g,100g,1.00000
501942,196,1 piece,1 morceau,0.09700
501942,341,100ml,100ml,0.63400
501942,383,125ml,125ml,0.79250
501942,415,250ml,250ml,1.58500
501942,1455,100g,100g,1.00000
501942,1496,75g,75g,0.75000
501943,341,100ml,100ml,0.57480
501943,383,125ml,125ml,0.71850
501943,415,250ml,250ml,1.43700
501943,1461,55g,55g,0.55000
501944,341,100ml,100ml,0.90030
501944,383,125ml,125ml,1.12530
501944,415,250ml,250ml,2.25060
501944,1482,110g,110g,1.10000
501945,341,100ml,100ml,0.96400
501945,383,125ml,125ml,1.20500
501945,415,250ml,250ml,2.41000
501945,1482,110g,110g,1.10000
501946,341,100ml,100ml,0.85380
501946,383,125ml,125ml,1.06720
501946,415,250ml,250ml,2.13440
501946,1482,110g,110g,1.10000
501947,90,1 egg,1 oeuf,1.55000
501947,396,,,3.10000
501947,1607,195g,195g,1.95000
501948,341,100ml,100ml,0.57060
501948,383,125ml,125ml,0.71320
501948,415,250ml,250ml,1.42650
501948,990,50g,50g,0.50000
501948,1645,1 yolk,1 jaune d'oeuf,0.17000
501948,502452,2 egg yolks,2 jaunes d'oeufs,0.34000
501949,341,100ml,100ml,0.88760
501949,383,125ml,125ml,1.10950
501949,415,250ml,250ml,2.21890
501949,990,50g,50g,0.50000
501950,341,100ml,100ml,1.02705
501950,383,125ml,125ml,1.28380
501950,415,250ml,250ml,2.56760
501951,341,100ml,100ml,0.95100
501951,383,125ml,125ml,1.18870
501951,415,250ml,250ml,2.37740
501952,1454,30g,30g,0.30000
501952,1461,55g,55g,0.55000
501954,1454,30g,30g,0.30000
501954,1461,55g,55g,0.55000
501956,12,1 bar,1 barre,0.26000
501956,1456,40g,40g,0.40000
501958,341,100ml,100ml,1.04820
501958,383,125ml,125ml,1.31020
501958,415,250ml,250ml,2.62040
501959,341,100ml,100ml,1.06930
501959,383,125ml,125ml,1.33660
501959,389,175ml,175ml,1.87128
501959,415,250ml,250ml,2.67330
501960,341,100ml,100ml,1.01000
501960,383,125ml,125ml,1.26250
501960,415,250ml,250ml,2.52500
501961,341,100ml,100ml,1.04824
501961,383,125ml,125ml,1.31030
501961,415,250ml,250ml,2.62059
501962,341,100ml,100ml,1.01900
501962,383,125ml,125ml,1.27380
501962,415,250ml,250ml,2.54750
501963,341,100ml,100ml,1.02000
501963,383,125ml,125ml,1.27500
501963,415,250ml,250ml,2.55000
501964,341,100ml,100ml,0.30850
501964,383,125ml,125ml,0.38570
501964,415,250ml,250ml,0.77130
501964,1455,100g,100g,1.00000
501965,341,100ml,100ml,0.44380
501965,383,125ml,125ml,0.55480
501965,415,250ml,250ml,1.10950
501965,1455,100g,100g,1.00000
501966,383,125ml,125ml,0.81750
501966,413,200ml,200ml,0.65400
501966,415,250ml,250ml,1.63500
501966,1353,500ml,500ml,3.27000
501966,1455,100g,100g,1.00000
501967,341,100ml,100ml,0.51260
501967,383,125ml,125ml,0.64450
501967,415,250ml,250ml,1.28900
501967,1455,100g,100g,1.00000
501968,341,100ml,100ml,0.45650
501968,383,125ml,125ml,0.57060
501968,415,250ml,250ml,1.14000
501968,1455,100g,100g,1.00000
501969,415,250ml,250ml,2.64159
501969,1607,195g,195g,1.95000
501969,502439,1 square (7.5 cm x 9 cm),"1 carré (7,5 cm x 9 cm)",2.32000
501970,415,250ml,250ml,2.64159
501970,1457,140g,140g,1.40000
501970,1607,195g,195g,1.95000
501970,502439,1 square (7.5 cm x 9 cm),"1 carré (7,5 cm x 9 cm)",2.56000
501971,341,100ml,100ml,0.74810
501971,383,125ml,125ml,0.93510
501971,415,250ml,250ml,1.87030
501971,1457,140g,140g,1.40000
501974,233,1 sandwich,1 sandwich,1.57000
501974,1457,140g,140g,1.40000
501975,233,1 sandwich,1 sandwich,1.27000
501975,1457,140g,140g,1.40000
501976,233,1 sandwich,1 sandwich,1.62000
501976,1457,140g,140g,1.40000
501977,233,1 sandwich,1 sandwich,1.62000
501977,1457,140g,140g,1.40000
501978,1457,140g,140g,1.40000
501978,502440,1 samosa,1 samosa,1.00000
501979,233,1 sandwich,1 sandwich,2.84000
501979,1607,195g,195g,1.95000
501980,233,1 sandwich,1 sandwich,2.46000
501980,1457,140g,140g,1.40000
501981,233,1 sandwich,1 sandwich,2.49000
501981,1457,140g,140g,1.40000
501982,233,1 sandwich,1 sandwich,1.57000
501982,1457,140g,140g,1.40000
501983,1457,140g,140g,1.40000
501983,502441,"1 sandwich, 15 cm long (6'')","1 sandwich, 15 cm long (6'')",2.40000
501984,1457,140g,140g,1.40000
501984,502441,"1 sandwich, 15 cm long (6'')","1 sandwich, 15 cm long (6'')",1.67000
501985,233,1 sandwich,1 sandwich,3.90000
501985,1457,140g,140g,1.40000
501986,233,1 sandwich,1 sandwich,2.30000
501986,1457,140g,140g,1.40000
501987,607,10 sticks,10 bâtonnets,0.90000
501987,867,1 serving,1 portion,0.85000
501987,1457,140g,140g,1.40000
501987,502442,1 stick (7.6 cm long),"1 bâtonnet (7,6 cm)",0.09000
501988,163,1 medium slice,1 moyenne tranche,0.26000
501988,990,50g,50g,0.50000
501989,341,100ml,100ml,0.84535
501989,383,125ml,125ml,1.05669
501989,415,250ml,250ml,2.11338
501990,196,1 piece,1 morceau,0.26000
501990,1457,140g,140g,1.40000
501991,196,1 piece,1 morceau,0.26000
501991,1457,140g,140g,1.40000
501992,341,100ml,100ml,0.99320
501992,383,125ml,125ml,1.24150
501992,415,250ml,250ml,2.48300
501992,1607,195g,195g,1.95000
501993,341,100ml,100ml,0.84520
501993,383,125ml,125ml,1.05650
501993,415,250ml,250ml,2.11300
501993,1607,195g,195g,1.95000
501994,341,100ml,100ml,1.04800
501994,383,125ml,125ml,1.31000
501994,415,250ml,250ml,2.62000
501994,1607,195g,195g,1.95000
501996,341,100ml,100ml,0.91720
501996,383,125ml,125ml,1.14650
501996,415,250ml,250ml,2.29300
501996,1457,140g,140g,1.40000
501997,341,100ml,100ml,0.68480
501997,383,125ml,125ml,0.85600
501997,415,250ml,250ml,1.71200
501997,1457,140g,140g,1.40000
501998,341,100ml,100ml,0.91721
501998,383,125ml,125ml,1.14651
501998,415,250ml,250ml,2.29302
501998,1457,140g,140g,1.40000
501999,341,100ml,100ml,0.66000
501999,383,125ml,125ml,0.82500
501999,415,250ml,250ml,1.65000
501999,1607,195g,195g,1.95000
502000,341,100ml,100ml,1.03000
502000,383,125ml,125ml,1.28750
502000,415,250ml,250ml,2.57500
502000,1607,195g,195g,1.95000
502001,1457,140g,140g,1.40000
502001,502443,1 fajita,1 fajita,2.23000
502002,341,100ml,100ml,1.04000
502002,383,125ml,125ml,1.30000
502002,415,250ml,250ml,2.60000
502002,1607,195g,195g,1.95000
502003,341,100ml,100ml,1.02280
502003,383,125ml,125ml,1.27850
502003,415,250ml,250ml,2.55700
502003,1607,195g,195g,1.95000
502004,341,100ml,100ml,0.91720
502004,383,125ml,125ml,1.14650
502004,415,250ml,250ml,2.29300
502005,341,100ml,100ml,1.03120
502005,383,125ml,125ml,1.28900
502005,415,250ml,250ml,2.57800
502006,341,100ml,100ml,0.83680
502006,383,125ml,125ml,1.04600
502006,415,250ml,250ml,2.09200
502007,1457,140g,140g,1.40000
502007,502444,1 quesadilla,1 quésadilla,1.84000
502008,211,1 pizza (12'' ),1 pizza (12''),8.94000
502008,1457,140g,140g,1.40000
502008,502504,1/6 of 12''pizza,1/6 d'une pizza de 12'',1.49000
502009,1496,75g,75g,0.75000
502010,341,100ml,100ml,1.02700
502010,383,125ml,125ml,1.28380
502010,415,250ml,250ml,2.56760
502011,245,1 slice,1 tranche,0.32000
502011,990,50g,50g,0.50000
502012,341,100ml,100ml,1.01400
502012,383,125ml,125ml,1.26750
502012,385,15ml,15ml,0.15210
502012,415,250ml,250ml,2.53500
502012,428,30ml,30ml,0.30420
502012,1454,30g,30g,0.30000
502013,341,100ml,100ml,1.01350
502013,383,125ml,125ml,1.26690
502013,385,15ml,15ml,0.15200
502013,415,250ml,250ml,2.53380
502013,640,60ml,60ml,0.60810
502013,1454,30g,30g,0.30000
502014,341,100ml,100ml,1.02710
502014,383,125ml,125ml,1.28380
502014,385,15ml,15ml,0.15410
502014,415,250ml,250ml,2.56760
502014,640,60ml,60ml,0.61620
502014,1454,30g,30g,0.30000
502015,341,100ml,100ml,1.31023
502015,383,125ml,125ml,1.63779
502015,415,250ml,250ml,3.27560
502015,428,30ml,30ml,0.39307
502016,110,1 fruit,1 fruit,0.86000
