FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,ConversionFactorValue
1244,1461,55g,55g,0.55000
1247,274,1 small box,1 petite bôite,0.45000
1247,341,100ml,100ml,0.21790
1247,389,175ml,175ml,0.38133
1247,415,250ml,250ml,0.54475
1247,1454,30g,30g,0.30000
1247,1461,55g,55g,0.55000
1248,341,100ml,100ml,0.11834
1248,389,175ml,175ml,0.20710
1248,415,250ml,250ml,0.29586
1248,1454,30g,30g,0.30000
1249,341,100ml,100ml,0.11834
1249,394,2 biscuits,2 biscuits,0.35000
1249,415,250ml,250ml,0.29586
1249,1454,30g,30g,0.30000
1249,1461,55g,55g,0.55000
1251,341,100ml,100ml,0.16484
1251,389,175ml,175ml,0.28846
1251,415,250ml,250ml,0.41209
1251,1454,30g,30g,0.30000
1253,341,100ml,100ml,0.49028
1253,383,125ml,125ml,0.61285
1253,415,250ml,250ml,1.22570
1253,1454,30g,30g,0.30000
1253,1461,55g,55g,0.55000
1256,341,100ml,100ml,0.15778
1256,413,200ml,200ml,0.31556
1256,415,250ml,250ml,0.39445
1256,1454,30g,30g,0.30000
1257,341,100ml,100ml,0.09298
1257,415,250ml,250ml,0.23246
1257,430,,,0.34868
1257,1454,30g,30g,0.30000
1258,341,100ml,100ml,0.18174
1258,383,125ml,125ml,0.22718
1258,389,175ml,175ml,0.31805
1258,415,250ml,250ml,0.45435
1258,1454,30g,30g,0.30000
1259,341,100ml,100ml,0.15216
1259,415,250ml,250ml,0.38039
1259,1454,30g,30g,0.30000
1260,341,100ml,100ml,0.25359
1260,383,125ml,125ml,0.31699
1260,415,250ml,250ml,0.63398
1260,1454,30g,30g,0.30000
1262,341,100ml,100ml,0.16061
1262,389,175ml,175ml,0.28106
1262,413,200ml,200ml,0.32122
1262,415,250ml,250ml,0.40152
1262,1454,30g,30g,0.30000
1263,341,100ml,100ml,0.24091
1263,383,125ml,125ml,0.30114
1263,415,250ml,250ml,0.60228
1263,1454,30g,30g,0.30000
1264,341,100ml,100ml,0.25923
1264,388,150ml,150ml,0.38895
1264,415,250ml,250ml,0.64808
1264,1454,30g,30g,0.30000
1265,341,100ml,100ml,0.11412
1265,415,250ml,250ml,0.28529
1265,1454,30g,30g,0.30000
1266,341,100ml,100ml,0.05917
